日期 ,时间 ,维度 ,经度 ,海拔 ,速度 ,卫星数量 ,方向
2017年10月05日,9小时35分25秒,N 40.47.716度,E 111.41.697度,1057m,17.0384km/s,8,339.7度
2017年10月05日,9小时35分26秒,N 40.47.718度,E 111.41.696度,1057m,8.3340km/s,8,347.2度
2017年10月05日,9小时35分27秒,N 40.47.719度,E 111.41.696度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分28秒,N 40.47.719度,E 111.41.696度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分29秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分30秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分31秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分32秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分33秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分34秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分35秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分36秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分37秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分38秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分39秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分40秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分41秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分42秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分43秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分44秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分45秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分46秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分47秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分48秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分49秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分50秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分51秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分52秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
